lon_deg,lat_deg,date,ozone,units,qc_flag
50.875,6.125,01-Jan-2011,-1.89032260881316,µg m^-3,0
50.875,6.125,02-Jan-2011,-2.99032262520444,µg m^-3,0
50.875,6.125,03-Jan-2011,-2.99032262520444,µg m^-3,0
50.875,6.125,04-Jan-2011,-2.99032262520444,µg m^-3,0
50.875,6.125,05-Jan-2011,0.00967741949904344,µg m^-3,0
50.875,6.125,06-Jan-2011,5.00967749400485,µg m^-3,0
50.875,6.125,07-Jan-2011,4.90967749251473,µg m^-3,0
50.875,6.125,08-Jan-2011,8.30967754317868,µg m^-3,0
50.875,6.125,09-Jan-2011,-2.99032262520444,µg m^-3,0
50.875,6.125,10-Jan-2011,-2.99032262520444,µg m^-3,0
50.875,6.125,11-Jan-2011,-1.59032260434281,µg m^-3,0
50.875,6.125,12-Jan-2011,15.0096776430165,µg m^-3,0
50.875,6.125,13-Jan-2011,7.90967753721822,µg m^-3,0
50.875,6.125,14-Jan-2011,1.70967744483102,µg m^-3,0
50.875,6.125,15-Jan-2011,-2.99032262520444,µg m^-3,0
50.875,6.125,16-Jan-2011,-2.99032262520444,µg m^-3,0
50.875,6.125,17-Jan-2011,-2.79032262222421,µg m^-3,0
50.875,6.125,18-Jan-2011,3.40967747016299,µg m^-3,0
50.875,6.125,19-Jan-2011,1.80967744632113,µg m^-3,0
50.875,6.125,20-Jan-2011,-2.99032262520444,µg m^-3,0
50.875,6.125,21-Jan-2011,-1.29032259987247,µg m^-3,0
50.875,6.125,22-Jan-2011,-0.290322584971305,µg m^-3,0
50.875,6.125,23-Jan-2011,-0.690322590931769,µg m^-3,0
50.875,6.125,24-Jan-2011,-0.790322592421886,µg m^-3,0
50.875,6.125,25-Jan-2011,3.10967746569264,µg m^-3,0
50.875,6.125,26-Jan-2011,-2.99032262520444,µg m^-3,0
50.875,6.125,27-Jan-2011,-2.99032262520444,µg m^-3,0
50.875,6.125,28-Jan-2011,-2.99032262520444,µg m^-3,0
50.875,6.125,29-Jan-2011,-2.99032262520444,µg m^-3,0
50.875,6.125,30-Jan-2011,-2.99032262520444,µg m^-3,0
50.875,6.125,31-Jan-2011,-2.99032262520444,µg m^-3,0
50.875,6.125,01-Feb-2011,-0.367857148338641,µg m^-3,0
50.875,6.125,02-Feb-2011,0.332142862092171,µg m^-3,0
50.875,6.125,03-Feb-2011,-1.9678571721805,µg m^-3,0
50.875,6.125,04-Feb-2011,-1.9678571721805,µg m^-3,0
50.875,6.125,05-Feb-2011,-1.9678571721805,µg m^-3,0
50.875,6.125,06-Feb-2011,-1.9678571721805,µg m^-3,0
50.875,6.125,07-Feb-2011,-1.9678571721805,µg m^-3,0
50.875,6.125,08-Feb-2011,-1.9678571721805,µg m^-3,0
50.875,6.125,09-Feb-2011,-1.9678571721805,µg m^-3,0
50.875,6.125,10-Feb-2011,10.2321430096137,µg m^-3,0
50.875,6.125,11-Feb-2011,7.3321429664003,µg m^-3,0
50.875,6.125,12-Feb-2011,-1.56785716622003,µg m^-3,0
50.875,6.125,13-Feb-2011,-1.9678571721805,µg m^-3,0
50.875,6.125,14-Feb-2011,7.83214297385088,µg m^-3,0
50.875,6.125,15-Feb-2011,-1.9678571721805,µg m^-3,0
50.875,6.125,16-Feb-2011,-1.9678571721805,µg m^-3,0
50.875,6.125,17-Feb-2011,-1.9678571721805,µg m^-3,0
50.875,6.125,18-Feb-2011,-1.9678571721805,µg m^-3,0
50.875,6.125,19-Feb-2011,-1.9678571721805,µg m^-3,0
50.875,6.125,20-Feb-2011,-1.9678571721805,µg m^-3,0
50.875,6.125,21-Feb-2011,-1.9678571721805,µg m^-3,0
50.875,6.125,22-Feb-2011,-1.9678571721805,µg m^-3,0
50.875,6.125,23-Feb-2011,0.232142860602055,µg m^-3,0
50.875,6.125,24-Feb-2011,-0.167857145358409,µg m^-3,0
50.875,6.125,25-Feb-2011,-1.9678571721805,µg m^-3,0
50.875,6.125,26-Feb-2011,5.43214293808809,µg m^-3,0
50.875,6.125,27-Feb-2011,6.13214294851891,µg m^-3,0
50.875,6.125,28-Feb-2011,-1.9678571721805,µg m^-3,0
50.875,6.125,01-Mar-2011,-0.503225813950262,µg m^-3,0
50.875,6.125,02-Mar-2011,-0.503225813950262,µg m^-3,0
50.875,6.125,03-Mar-2011,-0.503225813950262,µg m^-3,0
50.875,6.125,04-Mar-2011,-0.503225813950262,µg m^-3,0
50.875,6.125,05-Mar-2011,-0.503225813950262,µg m^-3,0
50.875,6.125,06-Mar-2011,-0.503225813950262,µg m^-3,0
50.875,6.125,07-Mar-2011,-0.503225813950262,µg m^-3,0
50.875,6.125,08-Mar-2011,-0.503225813950262,µg m^-3,0
50.875,6.125,09-Mar-2011,1.19677421138171,µg m^-3,0
