lon_deg,lat_deg,date,ozone,units,qc_flag
50.875,6.125,01-Jan-2011,-1.39322577531059,µg m^-3,0
50.875,6.125,02-Jan-2011,-2.96322574021835,µg m^-3,0
50.875,6.125,03-Jan-2011,-2.69322574625332,µg m^-3,0
50.875,6.125,04-Jan-2011,-4.07322571540792,µg m^-3,0
50.875,6.125,05-Jan-2011,-4.24322571160813,µg m^-3,0
50.875,6.125,06-Jan-2011,3.31677411941271,µg m^-3,0
50.875,6.125,07-Jan-2011,4.08677410220187,µg m^-3,0
50.875,6.125,08-Jan-2011,7.46677402665298,µg m^-3,0
50.875,6.125,09-Jan-2011,1.24677416568081,µg m^-3,0
50.875,6.125,10-Jan-2011,-1.94322576301713,µg m^-3,0
50.875,6.125,11-Jan-2011,-0.083225804591371,µg m^-3,0
50.875,6.125,12-Jan-2011,2.69677413327079,µg m^-3,0
50.875,6.125,13-Jan-2011,8.23677400944214,µg m^-3,0
50.875,6.125,14-Jan-2011,7.8567740179358,µg m^-3,0
50.875,6.125,15-Jan-2011,5.62677406778018,µg m^-3,0
50.875,6.125,16-Jan-2011,5.72677406554501,µg m^-3,0
50.875,6.125,17-Jan-2011,4.76677408700268,µg m^-3,0
50.875,6.125,18-Jan-2011,3.4367741167305,µg m^-3,0
50.875,6.125,19-Jan-2011,0.276774187362002,µg m^-3,0
50.875,6.125,20-Jan-2011,-1.92322576346417,µg m^-3,0
50.875,6.125,21-Jan-2011,-4.84322569819708,µg m^-3,0
50.875,6.125,22-Jan-2011,-1.47322577352245,µg m^-3,0
50.875,6.125,23-Jan-2011,-0.343225798779918,µg m^-3,0
50.875,6.125,24-Jan-2011,0.34677418579738,µg m^-3,0
50.875,6.125,25-Jan-2011,-0.0732258048148884,µg m^-3,0
50.875,6.125,26-Jan-2011,-2.3032257549705,µg m^-3,0
50.875,6.125,27-Jan-2011,-3.38322573083062,µg m^-3,0
50.875,6.125,28-Jan-2011,-4.50322570579667,µg m^-3,0
50.875,6.125,29-Jan-2011,-5.42322568523307,µg m^-3,0
